timestamp,volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes,open,close,high,SMA_14,EMA_14,RSI_14,BB_upper,BB_lower
2024-02-18 22:00:00,68203,107620,102,154,274,28471560,107722,107774,107894,107745.64285714286,107821.6577687031,41.47442326980943,108970.87762322965,106988.32237677036
2024-02-19 22:00:00,123471,107616,156,461,772,28473000,107772,108077,108388,107738.78571428571,107855.70339954268,48.80299251870324,108914.55156525041,106998.84843474958
2024-02-20 22:00:00,108038,107900,149,296,342,28474440,108049,108196,108242,107701.42857142857,107901.07627960366,42.70164666480603,108795.71701902858,107052.88298097142
2024-02-21 22:00:00,107530,108028,106,201,853,28475880,108134,108229,108881,107725.71428571429,107944.79944232319,56.10193826274227,108760.43238848101,107065.267611519
2024-02-22 22:00:00,95869,108118,67,88,279,28477320,108185,108206,108397,107781.64285714286,107979.62618334676,66.70934699103714,108706.09354505524,107087.20645494475
2024-02-25 22:00:00,91721,108127,169,385,470,28481640,108296,108512,108597,107851.07142857143,108050.60935890052,69.19431279620854,108739.1209353061,107072.17906469389
2024-02-26 22:00:00,89336,108329,138,118,330,28483080,108467,108447,108659,107902.28571428571,108103.46144438046,64.89405899459908,108737.80670299185,107072.79329700816
2024-02-27 22:00:00,91014,107967,461,415,492,28484520,108428,108382,108459,107945.35714285714,108140.59991846306,62.44325216673545,108767.43140200802,107064.06859799198
2024-02-28 22:00:00,126865,107958,370,89,600,28485960,108328,108047,108558,107959.71428571429,108128.11992933466,53.734671125975474,108649.22270635978,107115.0772936402
2024-02-29 22:00:00,103608,107980,16,417,451,28487400,107996,108397,108431,108008.28571428571,108163.97060542337,61.675824175824175,108708.47353929043,107106.62646070958
2024-03-03 22:00:00,88728,108354,0,203,314,28491720,108354,108557,108668,108113.14285714286,108216.37452470025,80.0327332242226,108781.14034888735,107147.35965111265
2024-03-04 22:00:00,94248,108406,126,159,355,28493160,108532,108565,108761,108205.35714285714,108262.85792140689,78.47375385972651,108848.76914840541,107182.23085159459
2024-03-05 22:00:00,107804,108421,131,565,732,28494600,108552,108986,109153,108295.57142857143,108359.27686521932,78.20455560518089,109005.04713521631,107151.55286478369
2024-03-06 22:00:00,104373,108678,265,803,814,28496040,108943,109481,109492,108418.28571428571,108508.83994985675,81.88567186340015,109269.62476063985,107057.17523936013
2024-03-07 22:00:00,113496,109205,211,190,607,28497480,109416,109395,109812,108534.07142857143,108626.99462320918,79.2704947634525,109464.20677543394,107017.49322456607
2024-03-10 21:00:00,95210,109145,245,107,336,28501740,109390,109252,109481,108618.0,108710.32867344796,72.51820620927558,109594.03028547757,107041.16971452245
2024-03-11 21:00:00,94998,109023,199,235,413,28503180,109222,109258,109436,108693.85714285714,108783.35151698824,71.27403846153845,109629.44160620925,107222.65839379076
2024-03-12 21:00:00,82889,109201,48,277,436,28504620,109249,109478,109637,108783.07142857143,108875.97131472315,73.27618337681699,109698.3911953351,107374.1088046649
2024-03-13 21:00:00,89733,108806,671,29,741,28506060,109477,108835,109547,108828.0,108870.50847276006,59.52164698758704,109695.07651679906,107488.62348320095
2024-03-14 21:00:00,79734,108728,88,158,268,28507500,108816,108886,108996,108854.71428571429,108872.57400972539,56.13517060367454,109685.98813500984,107610.01186499016
2024-03-17 21:00:00,63148,108661,231,58,400,28511820,108892,108719,109061,108874.14285714286,108852.09747509535,54.317460317460316,109648.2790490962,107742.2209509038
2024-03-18 21:00:00,88339,108347,357,310,418,28513260,108704,108657,108765,108893.78571428571,108826.08447841597,54.36924054655227,109632.3035284478,107816.1964715522
2024-03-19 21:00:00,91430,108364,248,855,864,28514700,108612,109219,109228,108977.5,108878.47321462719,67.36810906935389,109673.35894877459,107877.4410512254
2024-03-20 21:00:00,101669,108555,637,41,871,28516140,109192,108596,109426,108991.71428571429,108840.81011934357,52.728269810803404,109659.10246849882,107928.39753150118
2024-03-21 21:00:00,82153,108017,548,69,663,28517580,108565,108086,108680,108958.07142857143,108740.16877009778,44.1080810607956,109671.72496392278,107903.77503607722
2024-03-24 21:00:00,76883,108022,46,348,402,28521900,108068,108370,108424,108944.14285714286,108690.81293408474,47.718230751228646,109676.15627256915,107885.14372743084
2024-03-25 21:00:00,88405,108242,118,69,401,28523340,108360,108311,108643,108895.92857142857,108640.1712095401,41.370493479928406,109682.0000629534,107865.69993704661
2024-03-26 21:00:00,90140,108108,196,169,282,28524780,108304,108277,108390,108809.92857142857,108591.74838160143,32.55072463768116,109687.4391761234,107849.76082387661
2024-03-27 21:00:00,96428,107751,504,122,518,28526220,108255,107873,108269,108701.21428571429,108495.91526405458,29.803609341825904,109710.26168184326,107809.53831815673
2024-03-28 21:00:00,72304,107678,196,221,368,28527660,107874,107899,108046,108604.57142857143,108416.32656218065,31.470829909613812,109749.33846733521,107720.66153266479
2024-03-31 21:00:00,65085,107309,551,118,681,28531980,107860,107427,107990,108473.78571428571,108284.4163538899,27.762934175370418,109848.52267184519,107508.47732815481
2024-04-01 21:00:00,76341,107245,171,446,545,28533420,107416,107691,107790,108346.14285714286,108205.29417337125,28.526796443162695,109885.1984375517,107384.4015624483
2024-04-02 21:00:00,88499,107640,51,719,728,28534860,107691,108359,108368,108312.14285714286,108225.78828358842,44.31438127090301,109848.2010805907,107358.69891940929
2024-04-03 21:00:00,76388,108295,13,77,471,28536300,108308,108372,108766,108275.42857142857,108245.28317910997,43.804243008678874,109725.12012533718,107370.87987466282
2024-04-04 21:00:00,96058,107914,411,457,564,28537740,108325,108371,108478,108250.57142857143,108262.04542189531,45.630336514314415,109605.91507637022,107387.68492362979
2024-04-07 21:00:00,76006,108209,148,382,412,28542060,108357,108591,108621,108245.85714285714,108305.90603230927,49.20289855072464,109516.05051241136,107411.44948758864
2024-04-08 21:00:00,79065,108477,78,90,373,28543500,108555,108567,108850,108199.28571428571,108340.71856133471,40.9494725152693,109414.97260108645,107443.42739891354
