volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes
204305,107659,216,182,882,29020200
178412,107764,15,597,1123,29021640
165000,108052,222,309,696,29025900
167235,108261,78,933,1213,29027340
155328,108756,430,116,557,29028780
146827,108225,650,293,748,29030220
139184,108307,149,514,818,29031660
116699,108685,91,531,609,29035980
114619,108924,258,525,623,29037420
127147,108606,834,419,852,29038860
117995,108145,879,386,1029,29040300
112446,107970,467,161,643,29041740
129324,107818,294,193,764,29046060
115510,107770,238,150,532,29047500
125091,107439,463,85,588,29048940
132278,107330,204,686,882,29050380
116514,107647,338,656,801,29051820
135123,107841,369,305,655,29056140
127135,107783,394,137,520,29057580
131009,107802,97,799,1441,29059020
249223,108052,353,2455,3402,29060460
283571,109244,1213,381,1833,29061900
321187,108786,134,259,1716,29066220
236737,108885,154,693,1035,29067660
320480,109132,452,349,1819,29069100
266541,109430,60,2585,2985,29070540
314478,111850,60,1662,2886,29071980
222674,112958,182,538,1291,29076300
181991,112639,788,173,1151,29077740
206341,112796,5,1188,1334,29079180
182471,113353,513,281,741,29080620
173009,113585,28,355,391,29082060
178067,113873,57,1252,1860,29086380
191477,114177,963,31,1298,29087820
225373,113078,1132,68,1322,29089260
162911,113103,0,787,876,29090700
149993,113157,689,445,753,29092140
148864,113296,358,916,953,29096460
153811,113702,464,140,517,29097900
157599,113166,649,125,830,29099340
142474,112660,600,241,751,29100780
168723,112742,115,251,1067,29102220
145062,112895,115,251,754,29106540
143840,112799,339,883,1011,29107980
170831,112918,703,73,867,29109420
